"x","y",""
-87.56,18.01,NA
-87.53,18.01,NA
-87.5,18.01,NA
-87.47,18.01,NA
-87.44,18.01,NA
-87.41,18.01,NA
-88.97,17.98,NA
-88.94,17.98,NA
-88.91,17.98,NA
-88.88,17.98,NA
-88.85,17.98,NA
-88.82,17.98,NA
-88.79,17.98,NA
-88.76,17.98,NA
-88.73,17.98,NA
-88.7,17.98,NA
-88.67,17.98,NA
-88.64,17.98,NA
-88.61,17.98,NA
-88.58,17.98,NA
-88.55,17.98,NA
-88.52,17.98,NA
-88.49,17.98,NA
-88.46,17.98,NA
-88.43,17.98,NA
-88.4,17.98,NA
-88.37,17.98,122.94
-88.34,17.98,583.11
-88.31,17.98,840.51
-88.28,17.98,45.81
-88.25,17.98,28.17
-88.22,17.98,295.56
-88.19,17.98,295.56
-88.16,17.98,76.95
-88.13,17.98,NA
-88.1,17.98,19.89
-88.07,17.98,4.14
-88.04,17.98,NA
-88.01,17.98,NA
-87.98,17.98,1.26
-87.95,17.98,9.99
-87.92,17.98,4.41
-87.89,17.98,NA
-87.86,17.98,NA
-87.83,17.98,NA
-87.8,17.98,NA
-87.77,17.98,NA
-87.74,17.98,NA
-87.71,17.98,NA
-87.68,17.98,NA
-87.65,17.98,NA
-87.62,17.98,NA
-87.59,17.98,NA
-87.56,17.98,NA
-87.53,17.98,NA
-87.5,17.98,NA
-87.47,17.98,NA
-87.44,17.98,NA
-87.41,17.98,NA
-88.97,17.95,NA
-88.94,17.95,NA
-88.91,17.95,NA
-88.88,17.95,NA
-88.85,17.95,NA
-88.82,17.95,NA
-88.79,17.95,NA
-88.76,17.95,NA
-88.73,17.95,NA
-88.7,17.95,NA
-88.67,17.95,NA
-88.64,17.95,NA
-88.61,17.95,NA
-88.58,17.95,NA
-88.55,17.95,NA
-88.52,17.95,NA
-88.49,17.95,NA
-88.46,17.95,NA
-88.43,17.95,NA
-88.4,17.95,NA
-88.37,17.95,46.44
-88.34,17.95,583.11
-88.31,17.95,386.82
-88.28,17.95,129.96
-88.25,17.95,30.24
-88.22,17.95,638.1
-88.19,17.95,638.1
-88.16,17.95,1.71
-88.13,17.95,12.06
-88.1,17.95,NA
-88.07,17.95,NA
-88.04,17.95,NA
-88.01,17.95,NA
-87.98,17.95,10.62
-87.95,17.95,19.62
-87.92,17.95,4.95
-87.89,17.95,NA
-87.86,17.95,NA
-87.83,17.95,NA
-87.8,17.95,NA
-87.77,17.95,NA
-87.74,17.95,NA
-87.71,17.95,NA
-87.68,17.95,NA
-87.65,17.95,NA
-87.62,17.95,NA
-87.59,17.95,NA
-87.56,17.95,NA
-87.53,17.95,NA
-87.5,17.95,NA
-87.47,17.95,NA
-87.44,17.95,NA
-87.41,17.95,NA
-88.97,17.92,NA
-88.94,17.92,NA
-88.91,17.92,NA
-88.88,17.92,NA
-88.85,17.92,NA
-88.82,17.92,NA
-88.79,17.92,NA
-88.76,17.92,NA
-88.73,17.92,NA
-88.7,17.92,NA
-88.67,17.92,NA
-88.64,17.92,NA
-88.61,17.92,NA
-88.58,17.92,NA
-88.55,17.92,NA
-88.52,17.92,NA
-88.49,17.92,NA
-88.46,17.92,NA
-88.43,17.92,NA
-88.4,17.92,NA
-88.37,17.92,5.31
-88.34,17.92,30.78
-88.31,17.92,31.14
